step 0, training accuracy 0
step 10, training accuracy 0
step 20, training accuracy 0
step 30, training accuracy 0
step 40, training accuracy 0
step 50, training accuracy 0
step 60, training accuracy 0
step 70, training accuracy 0
step 80, training accuracy 0
step 90, training accuracy 0
step 100, training accuracy 0
step 110, training accuracy 0
step 120, training accuracy 0
step 130, training accuracy 0
step 140, training accuracy 0
step 150, training accuracy 0
step 160, training accuracy 0
step 170, training accuracy 0
step 180, training accuracy 0
step 190, training accuracy 0.01
step 200, training accuracy 0
step 210, training accuracy 0
step 220, training accuracy 0
step 230, training accuracy 0
step 240, training accuracy 0
step 250, training accuracy 0
step 260, training accuracy 0
step 270, training accuracy 0
step 280, training accuracy 0
step 290, training accuracy 0
step 300, training accuracy 0
step 310, training accuracy 0
step 320, training accuracy 0
step 330, training accuracy 0
step 340, training accuracy 0
step 350, training accuracy 0
step 360, training accuracy 0
step 370, training accuracy 0
step 380, training accuracy 0
step 390, training accuracy 0
step 400, training accuracy 0
step 410, training accuracy 0
step 420, training accuracy 0
step 430, training accuracy 0
step 440, training accuracy 0
step 450, training accuracy 0
step 460, training accuracy 0.01
step 470, training accuracy 0
step 480, training accuracy 0
step 490, training accuracy 0
step 500, training accuracy 0
step 510, training accuracy 0
step 520, training accuracy 0
step 530, training accuracy 0
step 540, training accuracy 0
step 550, training accuracy 0
step 560, training accuracy 0
step 570, training accuracy 0
step 580, training accuracy 0
step 590, training accuracy 0
step 600, training accuracy 0
step 610, training accuracy 0
step 620, training accuracy 0
step 630, training accuracy 0
step 640, training accuracy 0
step 650, training accuracy 0
step 660, training accuracy 0
step 670, training accuracy 0
step 680, training accuracy 0
step 690, training accuracy 0
step 700, training accuracy 0
step 710, training accuracy 0
step 720, training accuracy 0
step 730, training accuracy 0
step 740, training accuracy 0
step 750, training accuracy 0
step 760, training accuracy 0
step 770, training accuracy 0
step 780, training accuracy 0
step 790, training accuracy 0
step 800, training accuracy 0
step 810, training accuracy 0.01
step 820, training accuracy 0
step 830, training accuracy 0
step 840, training accuracy 0
step 850, training accuracy 0
step 860, training accuracy 0
step 870, training accuracy 0
step 880, training accuracy 0
step 890, training accuracy 0
step 900, training accuracy 0
step 910, training accuracy 0
step 920, training accuracy 0
step 930, training accuracy 0
step 940, training accuracy 0
step 950, training accuracy 0
step 960, training accuracy 0
step 970, training accuracy 0
step 980, training accuracy 0
step 990, training accuracy 0
step 1000, training accuracy 0
step 1010, training accuracy 0.01
step 1020, training accuracy 0
step 1030, training accuracy 0
step 1040, training accuracy 0
step 1050, training accuracy 0
step 1060, training accuracy 0
step 1070, training accuracy 0
step 1080, training accuracy 0
step 1090, training accuracy 0
step 1100, training accuracy 0
step 1110, training accuracy 0
step 1120, training accuracy 0
step 1130, training accuracy 0
step 1140, training accuracy 0
step 1150, training accuracy 0
step 1160, training accuracy 0
step 1170, training accuracy 0
step 1180, training accuracy 0
step 1190, training accuracy 0
step 1200, training accuracy 0
step 1210, training accuracy 0
step 1220, training accuracy 0
step 1230, training accuracy 0
step 1240, training accuracy 0
step 1250, training accuracy 0
step 1260, training accuracy 0
step 1270, training accuracy 0
step 1280, training accuracy 0
step 1290, training accuracy 0
step 1300, training accuracy 0
step 1310, training accuracy 0
step 1320, training accuracy 0
step 1330, training accuracy 0
step 1340, training accuracy 0
step 1350, training accuracy 0
step 1360, training accuracy 0
step 1370, training accuracy 0
step 1380, training accuracy 0
step 1390, training accuracy 0
step 1400, training accuracy 0
step 1410, training accuracy 0
step 1420, training accuracy 0
step 1430, training accuracy 0
step 1440, training accuracy 0
step 1450, training accuracy 0
step 1460, training accuracy 0
step 1470, training accuracy 0
step 1480, training accuracy 0
step 1490, training accuracy 0
step 1500, training accuracy 0
step 1510, training accuracy 0
step 1520, training accuracy 0
step 1530, training accuracy 0
step 1540, training accuracy 0
step 1550, training accuracy 0
step 1560, training accuracy 0
step 1570, training accuracy 0.01
